dt_ms,cr_inside,cr_outside,gap
1.000,99.064,72.198,26.866
2.000,92.870,40.290,52.580
3.000,72.831,33.069,39.762
4.000,55.355,30.288,25.068
5.000,43.948,27.376,16.572
6.000,36.359,24.521,11.838
7.000,30.718,22.701,8.017
8.000,26.120,20.273,5.847
9.000,22.666,18.458,4.209
10.000,19.691,16.748,2.943
11.000,17.602,15.802,1.800
12.000,15.922,14.177,1.744
13.000,14.791,12.987,1.804
14.000,13.933,12.504,1.429
15.000,13.343,12.037,1.306
16.000,12.923,11.452,1.470
17.000,12.630,10.677,1.954
18.000,12.455,10.059,2.396
19.000,12.496,9.556,2.940
20.000,12.502,9.125,3.377
